Year,Series,Tipo de tecnología renovable,Territorio,Comarca,Municipio,Units,GeoCode,Value
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,1114.1
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,681.4
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,1112.6
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,682.9
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,1081.5
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,1086.2
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,3841.1
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,176.5
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,543.1
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,178.8
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,7202.7
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,166.7
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,173.0
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,539.5
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,174.8
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,170.1
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,6993.6
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,3959.0
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Albiztur,Watts per cápita,Albiztur,554.1
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,19.5
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,19.6
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,19.3
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,19.6
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,93.6
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,94.8
