Year,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2022,,,Irura,Euroak,Irura,1321.0
2023,,,Irura,Euroak,Irura,1425.4
2022,,,Itsasondo,Euroak,Itsasondo,1286.3
2023,,,Itsasondo,Euroak,Itsasondo,1392.4
2022,,,Larraul,Euroak,Larraul,1145.5
2023,,,Larraul,Euroak,Larraul,1283.8
2022,,,Lazkao,Euroak,Lazkao,1453.6
2023,,,Lazkao,Euroak,Lazkao,1580.3
2022,,Goierri,,Euroak,Goierri,1426.6
2023,,Goierri,,Euroak,Goierri,1565.3
2022,,,Leaburu,Euroak,Leaburu,1313.0
2023,,,Leaburu,Euroak,Leaburu,1453.9
2022,,,Legazpi,Euroak,Legazpi,1470.5
2023,,,Legazpi,Euroak,Legazpi,1621.7
2022,,,Legorreta,Euroak,Legorreta,1371.1
2023,,,Legorreta,Euroak,Legorreta,1487.5
2022,,,Lezo,Euroak,Lezo,1257.1
2023,,,Lezo,Euroak,Lezo,1380.9
2022,,,Lizartza,Euroak,Lizartza,1289.7
2023,,,Lizartza,Euroak,Lizartza,1451.0
2022,,,Arrasate/Mondragón,Euroak,Arrasate/Mondragón,1158.9
2023,,,Arrasate/Mondragón,Euroak,Arrasate/Mondragón,1271.1
2022,,,Mutriku,Euroak,Mutriku,1174.8
2023,,,Mutriku,Euroak,Mutriku,1301.5
2022,,,Mutiloa,Euroak,Mutiloa,1108.7
2023,,,Mutiloa,Euroak,Mutiloa,1240.0
2022,,,Olaberria,Euroak,Olaberria,1533.3
2023,,,Olaberria,Euroak,Olaberria,1675.5
2022,,,Oñati,Euroak,Oñati,1273.1
2023,,,Oñati,Euroak,Oñati,1403.8
2022,,Tolosaldea,,Euroak,Tolosaldea,1335.3
2023,,Tolosaldea,,Euroak,Tolosaldea,1465.2
2022,,,Orexa,Euroak,Orexa,1464.2
2023,,,Orexa,Euroak,Orexa,1692.6
2022,,,Orio,Euroak,Orio,1235.4
2023,,,Orio,Euroak,Orio,1367.5
2022,,,Ormaiztegi,Euroak,Ormaiztegi,1337.7
2023,,,Ormaiztegi,Euroak,Ormaiztegi,1461.5
2022,,,Oiartzun,Euroak,Oiartzun,1272.6
2023,,,Oiartzun,Euroak,Oiartzun,1397.1
2022,,,Pasaia,Euroak,Pasaia,1175.1
2023,,,Pasaia,Euroak,Pasaia,1288.0
2022,,,Soraluze/Placencia de las Armas,Euroak,Soraluze/Placencia de las Armas,1287.2
