Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2022,,,Asparrena,PER_10000,Asparrena,36.8
2021,,,Asteasu,PER_10000,Asteasu,13.5
2019,,,Asteasu,PER_10000,Asteasu,52.3
2022,,,Asteasu,PER_10000,Asteasu,27.1
2020,,,Asteasu,PER_10000,Asteasu,13.2
2023,,,Asteasu,PER_10000,Asteasu,0.0
2021,,,Astigarraga,PER_10000,Astigarraga,25.5
2020,,,Astigarraga,PER_10000,Astigarraga,38.3
2023,,,Astigarraga,PER_10000,Astigarraga,45.3
2022,,,Astigarraga,PER_10000,Astigarraga,30.0
2019,,,Astigarraga,PER_10000,Astigarraga,37.5
2021,,,Ataun,PER_10000,Ataun,12.2
2020,,,Ataun,PER_10000,Ataun,47.9
2023,,,Ataun,PER_10000,Ataun,0.0
2019,,,Ataun,PER_10000,Ataun,23.8
2022,,,Ataun,PER_10000,Ataun,12.3
2022,,,Atxondo,PER_10000,Atxondo,28.9
2020,,,Atxondo,PER_10000,Atxondo,0.0
2019,,,Atxondo,PER_10000,Atxondo,14.2
2023,,,Atxondo,PER_10000,Atxondo,29.1
2021,,,Atxondo,PER_10000,Atxondo,14.6
2020,,,Aulesti,PER_10000,Aulesti,0.0
2022,,,Aulesti,PER_10000,Aulesti,0.0
2023,,,Aulesti,PER_10000,Aulesti,0.0
2019,,,Aulesti,PER_10000,Aulesti,0.0
2021,,,Aulesti,PER_10000,Aulesti,0.0
2022,,,Ayala / Aiara,PER_10000,Ayala / Aiara,20.9
2021,,,Ayala / Aiara,PER_10000,Ayala / Aiara,20.8
2020,,,Ayala / Aiara,PER_10000,Ayala / Aiara,0.0
2023,,,Ayala / Aiara,PER_10000,Ayala / Aiara,20.7
2019,,,Ayala / Aiara,PER_10000,Ayala / Aiara,20.6
2023,,,Azkoitia,PER_10000,Azkoitia,15.2
2022,,,Azkoitia,PER_10000,Azkoitia,27.1
2021,,,Azkoitia,PER_10000,Azkoitia,11.9
2020,,,Azkoitia,PER_10000,Azkoitia,27.1
2019,,,Azkoitia,PER_10000,Azkoitia,6.8
2021,,,Azpeitia,PER_10000,Azpeitia,17.2
2019,,,Azpeitia,PER_10000,Azpeitia,10.7
2022,,,Azpeitia,PER_10000,Azpeitia,9.2
2023,,,Azpeitia,PER_10000,Azpeitia,17.1
2020,,,Azpeitia,PER_10000,Azpeitia,18.5
2020,,,Bakio,PER_10000,Bakio,59.4
2022,,,Bakio,PER_10000,Bakio,56.2
2021,,,Bakio,PER_10000,Bakio,57.1
2023,,,Bakio,PER_10000,Bakio,49.4
2019,,,Bakio,PER_10000,Bakio,38.1
2019,,,Baliarrain,PER_10000,Baliarrain,0.0
2023,,,Baliarrain,PER_10000,Baliarrain,0.0
2020,,,Baliarrain,PER_10000,Baliarrain,0.0
