Year,Series,Institucion,Territorio,Units,Value
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.59
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.55
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.61
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.58
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.57
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.53
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.53
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.55
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.52
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.58
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.52
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.53
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.54
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.58
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.56
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.5
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.53
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.49
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.57
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.59
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.54
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.59
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.58
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.61
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.57
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.49
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.62
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.0
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.22
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.09
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.01
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.13
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.17
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.23
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,1.06
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,0.92
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,0.89
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,0.89
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,0.89
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,0.91
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,0.9
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.0
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.28
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.26
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.26
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.27
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.24
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.27
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.26
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.2
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.22
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.24
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.06
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.03
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.01
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,0.9
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.12
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.0
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES211,RO,1.22
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.11
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,1.01
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.08
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.11
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,1.03
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,1.08
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,1.08
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.07
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,1.05
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES213,RO,1.02
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.09
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.09
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.07
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.05
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.02
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,,RO,1.0
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.02
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.04
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.07
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.03
2022,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.22
2023,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.2
2020,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.19
2022,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.03
2023,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.02
2020,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.02
2021,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.02
2023,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.05
2021,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.19
2020,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.03
2022,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.05
2023,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,1.0
2020,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,0.97
2022,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,1.0
2021,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,0.97
2021,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.03
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.68
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.61
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.57
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.63
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.63
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.61
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.64
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.66
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.6
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.61
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.67
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.69
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.68
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.72
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.6
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.69
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.56
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.62
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.64
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.69
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.67
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.55
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.68
2014,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.26
2020,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.28
2010,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.27
2023,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2020,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2016,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.17
2010,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.32
2021,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2012,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.27
2022,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2017,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.18
2012,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.16
2017,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.21
2011,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.18
2011,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.23
2013,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2016,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19
2015,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.16
2019,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.17
2010,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.23
2018,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.2
2014,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2018,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.19
2018,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.27
2021,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.31
2023,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.33
2019,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19
2023,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.2
2014,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.21
2013,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.26
2019,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.27
2016,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.23
2013,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.21
2022,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19
2017,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.28
2022,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16
2021,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.2
2020,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.17
2018,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16
2012,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.22
2017,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.18
2014,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.2
2013,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.22
2015,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.19
2015,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19
2010,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.24
2011,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.21
2019,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16
2023,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16
2012,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.22
2020,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19
2021,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16
2016,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.18
2011,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.29
2022,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.3
2015,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.21
2012,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2
2014,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2
2017,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.19
2010,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.17
2019,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.24
2010,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.16
2014,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21
2015,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.19
2011,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.18
2013,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2
2016,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21
2023,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.25
2023,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.23
2018,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.26
2012,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.21
2015,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21
2021,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2
2023,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.28
2014,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.23
2011,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.2
2021,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.25
2010,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.14
2016,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24
2019,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.24
2011,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.18
2015,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24
2017,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24
2020,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24
2013,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.22
2019,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.27
2022,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.27
2020,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21
2021,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.22
2022,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.24
2013,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.2
2018,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.24
2017,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.17
2020,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2
2018,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.25
2022,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.21
2016,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.19
2021,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.21
2015,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.19
2010,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.15
2022,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.23
2011,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.16
2020,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.2
2016,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.19
2023,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.24
2013,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18
2017,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18
2019,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.23
2012,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18
2018,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.22
2014,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18
2012,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.19
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.41
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.37
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.39
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.4
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.43
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.5
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.39
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.43
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.31
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.41
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.37
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.5
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.46
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.61
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.37
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.41
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.55
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.39
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.39
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.46
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.32
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.43
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.41
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.41
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.32
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.4
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.26
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.38
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.41
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.38
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.35
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.4
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.39
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.44
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.45
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.37
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.39
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.43
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.36
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.57
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.31
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.7
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.39
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.42
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.38
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.37
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.17
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.42
