Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,20.8
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,96.0
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,31.4
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,127.2
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,30.0
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,25.1
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,27.8
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,31.2
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,108.8
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,117.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,110.5
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,131.1
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,115.9
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,96.7
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,86.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,27.0
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,29.3
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,129.5
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,26.3
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,23.9
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,23.5
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,92.0
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,38.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,40.4
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,211.4
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,39.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,33.1
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,30.1
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,151.8
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,37.3
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,228.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,38.3
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,38.6
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,218.7
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,34.5
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,216.5
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,217.0
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,30.1
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,39.8
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,203.0
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,141.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,214.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,167.2
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,37.9
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,180.1
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,187.3
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,Kg per cápita,201.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,35.5
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,158.8
