Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2011,Consumo de agua por habitante y día,,,Elduain,Litros per cápita diario,Elduain,158.1
2014,Consumo de agua por habitante y día,,,Elduain,Litros per cápita diario,Elduain,156.6
2019,Consumo de agua por habitante y día,,,Elduain,Litros per cápita diario,Elduain,147.0
2017,Consumo de agua por habitante y día,,,Elduain,Litros per cápita diario,Elduain,152.0
2012,Consumo de agua por habitante y día,,,Elgeta,Litros per cápita diario,Elgeta,160.4
2018,Consumo de agua por habitante y día,,,Elgeta,Litros per cápita diario,Elgeta,148.0
2015,Consumo de agua por habitante y día,,,Elgeta,Litros per cápita diario,Elgeta,148.0
2016,Consumo de agua por habitante y día,,,Elgeta,Litros per cápita diario,Elgeta,156.0
2014,Consumo de agua por habitante y día,,,Elgeta,Litros per cápita diario,Elgeta,159.0
2011,Consumo de agua por habitante y día,,,Elgeta,Litros per cápita diario,Elgeta,158.1
2017,Consumo de agua por habitante y día,,,Elgeta,Litros per cápita diario,Elgeta,149.0
2019,Consumo de agua por habitante y día,,,Elgeta,Litros per cápita diario,Elgeta,148.4
2019,Consumo de agua por habitante y día,,,Elgoibar,Litros per cápita diario,Elgoibar,152.0
2018,Consumo de agua por habitante y día,,,Elgoibar,Litros per cápita diario,Elgoibar,152.1
2017,Consumo de agua por habitante y día,,,Elgoibar,Litros per cápita diario,Elgoibar,154.0
2016,Consumo de agua por habitante y día,,,Elgoibar,Litros per cápita diario,Elgoibar,155.5
2012,Consumo de agua por habitante y día,,,Elgoibar,Litros per cápita diario,Elgoibar,158.4
2014,Consumo de agua por habitante y día,,,Elgoibar,Litros per cápita diario,Elgoibar,156.9
2011,Consumo de agua por habitante y día,,,Elgoibar,Litros per cápita diario,Elgoibar,158.1
2015,Consumo de agua por habitante y día,,,Elgoibar,Litros per cápita diario,Elgoibar,144.4
2014,Consumo de agua por habitante y día,,,Elorrio,Litros per cápita diario,Elorrio,178.1
2019,Consumo de agua por habitante y día,,,Elorrio,Litros per cápita diario,Elorrio,173.1
2018,Consumo de agua por habitante y día,,,Elorrio,Litros per cápita diario,Elorrio,172.2
2017,Consumo de agua por habitante y día,,,Elorrio,Litros per cápita diario,Elorrio,171.9
2011,Consumo de agua por habitante y día,,,Elorrio,Litros per cápita diario,Elorrio,183.8
2016,Consumo de agua por habitante y día,,,Elorrio,Litros per cápita diario,Elorrio,174.9
2015,Consumo de agua por habitante y día,,,Elorrio,Litros per cápita diario,Elorrio,175.6
2012,Consumo de agua por habitante y día,,,Elorrio,Litros per cápita diario,Elorrio,183.1
2016,Consumo de agua por habitante y día,,,Elvillar/Bilar,Litros per cápita diario,Elvillar/Bilar,335.5
2011,Consumo de agua por habitante y día,,,Elvillar/Bilar,Litros per cápita diario,Elvillar/Bilar,221.5
2019,Consumo de agua por habitante y día,,,Elvillar/Bilar,Litros per cápita diario,Elvillar/Bilar,317.3
2017,Consumo de agua por habitante y día,,,Elvillar/Bilar,Litros per cápita diario,Elvillar/Bilar,353.3
2014,Consumo de agua por habitante y día,,,Elvillar/Bilar,Litros per cápita diario,Elvillar/Bilar,318.0
2015,Consumo de agua por habitante y día,,,Elvillar/Bilar,Litros per cápita diario,Elvillar/Bilar,318.6
2018,Consumo de agua por habitante y día,,,Elvillar/Bilar,Litros per cápita diario,Elvillar/Bilar,284.7
2012,Consumo de agua por habitante y día,,,Elvillar/Bilar,Litros per cápita diario,Elvillar/Bilar,317.4
2014,Consumo de agua por habitante y día,,,Erandio,Litros per cápita diario,Erandio,196.9
2011,Consumo de agua por habitante y día,,,Erandio,Litros per cápita diario,Erandio,183.8
2016,Consumo de agua por habitante y día,,,Erandio,Litros per cápita diario,Erandio,202.8
2015,Consumo de agua por habitante y día,,,Erandio,Litros per cápita diario,Erandio,201.7
2019,Consumo de agua por habitante y día,,,Erandio,Litros per cápita diario,Erandio,199.7
2018,Consumo de agua por habitante y día,,,Erandio,Litros per cápita diario,Erandio,198.8
2012,Consumo de agua por habitante y día,,,Erandio,Litros per cápita diario,Erandio,204.1
2017,Consumo de agua por habitante y día,,,Erandio,Litros per cápita diario,Erandio,199.1
2018,Consumo de agua por habitante y día,,,Ereño,Litros per cápita diario,Ereño,173.1
2014,Consumo de agua por habitante y día,,,Ereño,Litros per cápita diario,Ereño,178.2
2011,Consumo de agua por habitante y día,,,Ereño,Litros per cápita diario,Ereño,183.8
2015,Consumo de agua por habitante y día,,,Ereño,Litros per cápita diario,Ereño,172.8
2019,Consumo de agua por habitante y día,,,Ereño,Litros per cápita diario,Ereño,170.3
2017,Consumo de agua por habitante y día,,,Ereño,Litros per cápita diario,Ereño,171.6
2012,Consumo de agua por habitante y día,,,Ereño,Litros per cápita diario,Ereño,174.4
2016,Consumo de agua por habitante y día,,,Ereño,Litros per cápita diario,Ereño,172.0
2017,Consumo de agua por habitante y día,,,Ermua,Litros per cápita diario,Ermua,152.2
2018,Consumo de agua por habitante y día,,,Ermua,Litros per cápita diario,Ermua,151.0
2015,Consumo de agua por habitante y día,,,Ermua,Litros per cápita diario,Ermua,147.0
2019,Consumo de agua por habitante y día,,,Ermua,Litros per cápita diario,Ermua,151.8
2016,Consumo de agua por habitante y día,,,Ermua,Litros per cápita diario,Ermua,154.4
2011,Consumo de agua por habitante y día,,,Ermua,Litros per cápita diario,Ermua,113.1
2012,Consumo de agua por habitante y día,,,Ermua,Litros per cápita diario,Ermua,120.6
2014,Consumo de agua por habitante y día,,,Ermua,Litros per cápita diario,Ermua,121.2
2014,Consumo de agua por habitante y día,,,Errenteria,Litros per cápita diario,Errenteria,155.4
2015,Consumo de agua por habitante y día,,,Errenteria,Litros per cápita diario,Errenteria,155.4
2018,Consumo de agua por habitante y día,,,Errenteria,Litros per cápita diario,Errenteria,151.0
2011,Consumo de agua por habitante y día,,,Errenteria,Litros per cápita diario,Errenteria,159.4
2016,Consumo de agua por habitante y día,,,Errenteria,Litros per cápita diario,Errenteria,155.0
2019,Consumo de agua por habitante y día,,,Errenteria,Litros per cápita diario,Errenteria,159.8
2017,Consumo de agua por habitante y día,,,Errenteria,Litros per cápita diario,Errenteria,152.9
2012,Consumo de agua por habitante y día,,,Errenteria,Litros per cápita diario,Errenteria,156.4
2015,Consumo de agua por habitante y día,,,Errezil,Litros per cápita diario,Errezil,125.1
2018,Consumo de agua por habitante y día,,,Errezil,Litros per cápita diario,Errezil,58.7
2011,Consumo de agua por habitante y día,,,Errezil,Litros per cápita diario,Errezil,132.3
2016,Consumo de agua por habitante y día,,,Errezil,Litros per cápita diario,Errezil,123.7
2019,Consumo de agua por habitante y día,,,Errezil,Litros per cápita diario,Errezil,75.8
2012,Consumo de agua por habitante y día,,,Errezil,Litros per cápita diario,Errezil,65.5
2017,Consumo de agua por habitante y día,,,Errezil,Litros per cápita diario,Errezil,97.1
2014,Consumo de agua por habitante y día,,,Errezil,Litros per cápita diario,Errezil,69.9
2017,Consumo de agua por habitante y día,,,Erriberagoitia/Ribera Alta,Litros per cápita diario,Erriberagoitia/Ribera Alta,234.4
