Year,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2020,,,,Soraluze-Placencia de las Armas,PER_100000_POP,Soraluze-Placencia de las Armas,0.0
2012,,,,Soraluze-Placencia de las Armas,PER_100000_POP,Soraluze-Placencia de las Armas,0.0
2013,,,,Soraluze-Placencia de las Armas,PER_100000_POP,Soraluze-Placencia de las Armas,0.0
2021,,,,Soraluze-Placencia de las Armas,PER_100000_POP,Soraluze-Placencia de las Armas,0.0
2016,,,,ES48076,PER_100000_POP,ES48076,0.0
2010,,,,ES48076,PER_100000_POP,ES48076,0.0
2022,,,,ES48076,PER_100000_POP,ES48076,0.0
2015,,,,ES48076,PER_100000_POP,ES48076,0.0
2013,,,,ES48076,PER_100000_POP,ES48076,0.0
2011,,,,ES48076,PER_100000_POP,ES48076,0.0
2020,,,,ES48076,PER_100000_POP,ES48076,0.0
2014,,,,ES48076,PER_100000_POP,ES48076,0.0
2018,,,,ES48076,PER_100000_POP,ES48076,0.0
2017,,,,ES48076,PER_100000_POP,ES48076,0.0
2019,,,,ES48076,PER_100000_POP,ES48076,0.0
2023,,,,ES48076,PER_100000_POP,ES48076,0.0
2012,,,,ES48076,PER_100000_POP,ES48076,0.0
2021,,,,ES48076,PER_100000_POP,ES48076,0.0
2013,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2012,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2018,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2020,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2016,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2019,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2023,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2010,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2022,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2014,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2017,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2011,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2021,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2015,,,,Tolosa,PER_100000_POP,Tolosa,0.0
2015,,,,ES48087,PER_100000_POP,ES48087,0.0
2013,,,,ES48087,PER_100000_POP,ES48087,0.0
2014,,,,ES48087,PER_100000_POP,ES48087,0.0
2010,,,,ES48087,PER_100000_POP,ES48087,0.0
2011,,,,ES48087,PER_100000_POP,ES48087,0.0
2017,,,,ES48087,PER_100000_POP,ES48087,0.0
2021,,,,ES48087,PER_100000_POP,ES48087,0.0
2023,,,,ES48087,PER_100000_POP,ES48087,0.0
2019,,,,ES48087,PER_100000_POP,ES48087,0.0
2018,,,,ES48087,PER_100000_POP,ES48087,0.0
2012,,,,ES48087,PER_100000_POP,ES48087,0.0
2020,,,,ES48087,PER_100000_POP,ES48087,0.0
2022,,,,ES48087,PER_100000_POP,ES48087,0.0
2016,,,,ES48087,PER_100000_POP,ES48087,0.0
2012,,,,ES48088,PER_100000_POP,ES48088,0.0
2017,,,,ES48088,PER_100000_POP,ES48088,0.0
2011,,,,ES48088,PER_100000_POP,ES48088,0.0
2020,,,,ES48088,PER_100000_POP,ES48088,0.0
2021,,,,ES48088,PER_100000_POP,ES48088,0.0
2016,,,,ES48088,PER_100000_POP,ES48088,0.0
2018,,,,ES48088,PER_100000_POP,ES48088,0.0
2022,,,,ES48088,PER_100000_POP,ES48088,0.0
2023,,,,ES48088,PER_100000_POP,ES48088,0.0
2015,,,,ES48088,PER_100000_POP,ES48088,0.0
2019,,,,ES48088,PER_100000_POP,ES48088,0.0
2014,,,,ES48088,PER_100000_POP,ES48088,0.0
2010,,,,ES48088,PER_100000_POP,ES48088,0.0
2013,,,,ES48088,PER_100000_POP,ES48088,0.0
2020,,,,ES48065,PER_100000_POP,ES48065,0.0
2013,,,,ES48065,PER_100000_POP,ES48065,0.0
2011,,,,ES48065,PER_100000_POP,ES48065,0.0
2012,,,,ES48065,PER_100000_POP,ES48065,0.0
2014,,,,ES48065,PER_100000_POP,ES48065,0.0
2010,,,,ES48065,PER_100000_POP,ES48065,0.0
2021,,,,ES48065,PER_100000_POP,ES48065,0.0
2022,,,,ES48065,PER_100000_POP,ES48065,0.0
2019,,,,ES48065,PER_100000_POP,ES48065,0.0
2023,,,,ES48065,PER_100000_POP,ES48065,0.0
2018,,,,ES48065,PER_100000_POP,ES48065,0.0
2016,,,,ES48065,PER_100000_POP,ES48065,0.0
2015,,,,ES48065,PER_100000_POP,ES48065,0.0
2017,,,,ES48065,PER_100000_POP,ES48065,0.0
2021,,,,ES48089,PER_100000_POP,ES48089,0.0
2010,,,,ES48089,PER_100000_POP,ES48089,0.0
2011,,,,ES48089,PER_100000_POP,ES48089,0.0
2014,,,,ES48089,PER_100000_POP,ES48089,0.0
2016,,,,ES48089,PER_100000_POP,ES48089,0.0
2017,,,,ES48089,PER_100000_POP,ES48089,0.0
2019,,,,ES48089,PER_100000_POP,ES48089,0.0
2020,,,,ES48089,PER_100000_POP,ES48089,0.0
2015,,,,ES48089,PER_100000_POP,ES48089,0.0
2013,,,,ES48089,PER_100000_POP,ES48089,0.0
2023,,,,ES48089,PER_100000_POP,ES48089,0.0
2018,,,,ES48089,PER_100000_POP,ES48089,0.0
2012,,,,ES48089,PER_100000_POP,ES48089,0.0
2022,,,,ES48089,PER_100000_POP,ES48089,0.0
2020,,,,ES48074,PER_100000_POP,ES48074,0.0
2011,,,,ES48074,PER_100000_POP,ES48074,0.0
2017,,,,ES48074,PER_100000_POP,ES48074,0.0
2018,,,,ES48074,PER_100000_POP,ES48074,0.0
2010,,,,ES48074,PER_100000_POP,ES48074,0.0
2021,,,,ES48074,PER_100000_POP,ES48074,0.0
2016,,,,ES48074,PER_100000_POP,ES48074,0.0
2019,,,,ES48074,PER_100000_POP,ES48074,0.0
2014,,,,ES48074,PER_100000_POP,ES48074,0.0
2013,,,,ES48074,PER_100000_POP,ES48074,0.0
2022,,,,ES48074,PER_100000_POP,ES48074,0.0
2015,,,,ES48074,PER_100000_POP,ES48074,0.0
2012,,,,ES48074,PER_100000_POP,ES48074,0.0
2023,,,,ES48074,PER_100000_POP,ES48074,0.0
2014,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2011,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2022,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2017,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2018,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2020,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2023,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2015,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2019,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2010,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2021,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2012,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2016,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2013,,,,Urkabustaiz,PER_100000_POP,Urkabustaiz,0.0
2019,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2011,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2010,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2015,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2022,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2018,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2016,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2014,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2021,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2017,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2012,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2023,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2020,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2013,,,,Urnieta,PER_100000_POP,Urnieta,0.0
2019,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2013,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2015,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2023,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2017,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2020,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2010,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2012,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2018,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2022,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2021,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2016,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2011,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2014,,,,Urretxu,PER_100000_POP,Urretxu,0.0
2020,,,,ES48916,PER_100000_POP,ES48916,0.0
2010,,,,ES48916,PER_100000_POP,ES48916,0.0
2013,,,,ES48916,PER_100000_POP,ES48916,0.0
2018,,,,ES48916,PER_100000_POP,ES48916,0.0
2021,,,,ES48916,PER_100000_POP,ES48916,0.0
2015,,,,ES48916,PER_100000_POP,ES48916,0.0
2019,,,,ES48916,PER_100000_POP,ES48916,0.0
2014,,,,ES48916,PER_100000_POP,ES48916,0.0
2022,,,,ES48916,PER_100000_POP,ES48916,0.0
2016,,,,ES48916,PER_100000_POP,ES48916,0.0
2012,,,,ES48916,PER_100000_POP,ES48916,0.0
2017,,,,ES48916,PER_100000_POP,ES48916,0.0
2023,,,,ES48916,PER_100000_POP,ES48916,0.0
2011,,,,ES48916,PER_100000_POP,ES48916,0.0
2012,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2019,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2017,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2020,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2010,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2022,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2015,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2013,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2011,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2014,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2016,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2021,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2018,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2023,,,,Usurbil,PER_100000_POP,Usurbil,0.0
2010,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2021,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2023,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2011,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2019,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2013,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2018,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2017,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2020,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2016,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2014,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2015,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2012,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2022,,,,Valdegovía / Gaubea,PER_100000_POP,Valdegovía / Gaubea,0.0
2023,,,,ES48080,PER_100000_POP,ES48080,0.0
2013,,,,ES48080,PER_100000_POP,ES48080,0.0
2011,,,,ES48080,PER_100000_POP,ES48080,0.0
2016,,,,ES48080,PER_100000_POP,ES48080,0.0
2014,,,,ES48080,PER_100000_POP,ES48080,0.0
2015,,,,ES48080,PER_100000_POP,ES48080,0.0
2019,,,,ES48080,PER_100000_POP,ES48080,0.0
2018,,,,ES48080,PER_100000_POP,ES48080,0.0
2017,,,,ES48080,PER_100000_POP,ES48080,0.0
2021,,,,ES48080,PER_100000_POP,ES48080,0.0
2020,,,,ES48080,PER_100000_POP,ES48080,0.0
2012,,,,ES48080,PER_100000_POP,ES48080,0.0
2010,,,,ES48080,PER_100000_POP,ES48080,0.0
2022,,,,ES48080,PER_100000_POP,ES48080,0.0
2013,,,,Villabona,PER_100000_POP,Villabona,0.0
2014,,,,Villabona,PER_100000_POP,Villabona,0.0
2010,,,,Villabona,PER_100000_POP,Villabona,0.0
2016,,,,Villabona,PER_100000_POP,Villabona,0.0
2018,,,,Villabona,PER_100000_POP,Villabona,0.0
2012,,,,Villabona,PER_100000_POP,Villabona,0.0
2020,,,,Villabona,PER_100000_POP,Villabona,0.0
2022,,,,Villabona,PER_100000_POP,Villabona,0.0
2021,,,,Villabona,PER_100000_POP,Villabona,0.0
2011,,,,Villabona,PER_100000_POP,Villabona,0.0
2017,,,,Villabona,PER_100000_POP,Villabona,0.0
2015,,,,Villabona,PER_100000_POP,Villabona,0.0
2023,,,,Villabona,PER_100000_POP,Villabona,0.0
2019,,,,Villabona,PER_100000_POP,Villabona,0.0
2019,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2010,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2018,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2015,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2023,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2021,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2017,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2013,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2020,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2012,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2014,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2022,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2011,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2016,,,,Villabuena de Álava / Eskuernaga,PER_100000_POP,Villabuena de Álava / Eskuernaga,0.0
2016,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2018,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2019,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.4
2023,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2010,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2020,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2022,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.4
2012,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2013,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2021,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2011,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2015,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2017,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.0
2014,,,,Vitoria-Gasteiz,PER_100000_POP,Vitoria-Gasteiz,0.42
2022,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2017,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2010,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2021,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2020,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2016,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2019,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2013,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2012,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2018,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2014,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2023,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2011,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2015,,,,Yécora / Iekora,PER_100000_POP,Yécora / Iekora,0.0
2023,,,,ES48095,PER_100000_POP,ES48095,0.0
2014,,,,ES48095,PER_100000_POP,ES48095,0.0
2012,,,,ES48095,PER_100000_POP,ES48095,0.0
2020,,,,ES48095,PER_100000_POP,ES48095,0.0
2010,,,,ES48095,PER_100000_POP,ES48095,0.0
2016,,,,ES48095,PER_100000_POP,ES48095,0.0
2018,,,,ES48095,PER_100000_POP,ES48095,0.0
2021,,,,ES48095,PER_100000_POP,ES48095,0.0
2015,,,,ES48095,PER_100000_POP,ES48095,0.0
2017,,,,ES48095,PER_100000_POP,ES48095,0.0
2013,,,,ES48095,PER_100000_POP,ES48095,0.0
2011,,,,ES48095,PER_100000_POP,ES48095,0.0
2022,,,,ES48095,PER_100000_POP,ES48095,33.21
2019,,,,ES48095,PER_100000_POP,ES48095,0.0
2019,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2015,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2018,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2022,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2020,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2014,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2021,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2012,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2013,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2023,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2011,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2017,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2010,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2016,,,,Zaldibia,PER_100000_POP,Zaldibia,0.0
2013,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2016,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2018,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2011,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2012,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2015,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2019,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2010,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2021,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2014,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2020,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2022,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2017,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2023,,,,Zalduondo,PER_100000_POP,Zalduondo,0.0
2021,,,,ES48096,PER_100000_POP,ES48096,0.0
2018,,,,ES48096,PER_100000_POP,ES48096,0.0
2015,,,,ES48096,PER_100000_POP,ES48096,0.0
2011,,,,ES48096,PER_100000_POP,ES48096,0.0
2010,,,,ES48096,PER_100000_POP,ES48096,0.0
2013,,,,ES48096,PER_100000_POP,ES48096,0.0
2020,,,,ES48096,PER_100000_POP,ES48096,0.0
2017,,,,ES48096,PER_100000_POP,ES48096,0.0
2019,,,,ES48096,PER_100000_POP,ES48096,0.0
2014,,,,ES48096,PER_100000_POP,ES48096,0.0
2016,,,,ES48096,PER_100000_POP,ES48096,0.0
2012,,,,ES48096,PER_100000_POP,ES48096,0.0
2023,,,,ES48096,PER_100000_POP,ES48096,0.0
2022,,,,ES48096,PER_100000_POP,ES48096,0.0
2021,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2017,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2014,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2015,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2010,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2012,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2018,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2022,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2011,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2013,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2020,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2016,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2019,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2023,,,,Zambrana,PER_100000_POP,Zambrana,0.0
2018,,,,ES48905,PER_100000_POP,ES48905,0.0
2022,,,,ES48905,PER_100000_POP,ES48905,0.0
2011,,,,ES48905,PER_100000_POP,ES48905,0.0
2013,,,,ES48905,PER_100000_POP,ES48905,0.0
2015,,,,ES48905,PER_100000_POP,ES48905,0.0
2021,,,,ES48905,PER_100000_POP,ES48905,0.0
2014,,,,ES48905,PER_100000_POP,ES48905,0.0
2019,,,,ES48905,PER_100000_POP,ES48905,0.0
2017,,,,ES48905,PER_100000_POP,ES48905,0.0
2023,,,,ES48905,PER_100000_POP,ES48905,0.0
2010,,,,ES48905,PER_100000_POP,ES48905,0.0
2020,,,,ES48905,PER_100000_POP,ES48905,0.0
2016,,,,ES48905,PER_100000_POP,ES48905,0.0
2012,,,,ES48905,PER_100000_POP,ES48905,0.0
2015,,,,ES48097,PER_100000_POP,ES48097,0.0
2019,,,,ES48097,PER_100000_POP,ES48097,0.0
2017,,,,ES48097,PER_100000_POP,ES48097,0.0
2014,,,,ES48097,PER_100000_POP,ES48097,0.0
2012,,,,ES48097,PER_100000_POP,ES48097,0.0
2020,,,,ES48097,PER_100000_POP,ES48097,0.0
2021,,,,ES48097,PER_100000_POP,ES48097,0.0
2011,,,,ES48097,PER_100000_POP,ES48097,0.0
2016,,,,ES48097,PER_100000_POP,ES48097,0.0
2018,,,,ES48097,PER_100000_POP,ES48097,0.0
2013,,,,ES48097,PER_100000_POP,ES48097,0.0
2023,,,,ES48097,PER_100000_POP,ES48097,0.0
2010,,,,ES48097,PER_100000_POP,ES48097,0.0
2022,,,,ES48097,PER_100000_POP,ES48097,0.0
2021,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2016,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2022,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2018,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2012,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2015,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2023,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2019,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2011,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2017,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2013,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2010,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2014,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2020,,,,Zarautz,PER_100000_POP,Zarautz,0.0
2017,,,,ES48024,PER_100000_POP,ES48024,0.0
2016,,,,ES48024,PER_100000_POP,ES48024,0.0
2022,,,,ES48024,PER_100000_POP,ES48024,0.0
2012,,,,ES48024,PER_100000_POP,ES48024,0.0
2014,,,,ES48024,PER_100000_POP,ES48024,0.0
2023,,,,ES48024,PER_100000_POP,ES48024,0.0
2019,,,,ES48024,PER_100000_POP,ES48024,0.0
2010,,,,ES48024,PER_100000_POP,ES48024,0.0
2011,,,,ES48024,PER_100000_POP,ES48024,0.0
2020,,,,ES48024,PER_100000_POP,ES48024,0.0
2018,,,,ES48024,PER_100000_POP,ES48024,0.0
2021,,,,ES48024,PER_100000_POP,ES48024,0.0
2015,,,,ES48024,PER_100000_POP,ES48024,0.0
2013,,,,ES48024,PER_100000_POP,ES48024,0.0
2010,,,,ES48025,PER_100000_POP,ES48025,0.0
2012,,,,ES48025,PER_100000_POP,ES48025,0.0
2017,,,,ES48025,PER_100000_POP,ES48025,0.0
2013,,,,ES48025,PER_100000_POP,ES48025,0.0
2014,,,,ES48025,PER_100000_POP,ES48025,0.0
2016,,,,ES48025,PER_100000_POP,ES48025,0.0
2018,,,,ES48025,PER_100000_POP,ES48025,0.0
2011,,,,ES48025,PER_100000_POP,ES48025,0.0
2022,,,,ES48025,PER_100000_POP,ES48025,0.0
2023,,,,ES48025,PER_100000_POP,ES48025,0.0
2015,,,,ES48025,PER_100000_POP,ES48025,0.0
2021,,,,ES48025,PER_100000_POP,ES48025,0.0
2020,,,,ES48025,PER_100000_POP,ES48025,0.0
2019,,,,ES48025,PER_100000_POP,ES48025,0.0
2010,,,,Zegama,PER_100000_POP,Zegama,0.0
2014,,,,Zegama,PER_100000_POP,Zegama,0.0
2013,,,,Zegama,PER_100000_POP,Zegama,0.0
2011,,,,Zegama,PER_100000_POP,Zegama,0.0
2016,,,,Zegama,PER_100000_POP,Zegama,0.0
2012,,,,Zegama,PER_100000_POP,Zegama,0.0
2023,,,,Zegama,PER_100000_POP,Zegama,0.0
2019,,,,Zegama,PER_100000_POP,Zegama,0.0
2015,,,,Zegama,PER_100000_POP,Zegama,0.0
2020,,,,Zegama,PER_100000_POP,Zegama,0.0
2022,,,,Zegama,PER_100000_POP,Zegama,0.0
2017,,,,Zegama,PER_100000_POP,Zegama,0.0
2021,,,,Zegama,PER_100000_POP,Zegama,0.0
2018,,,,Zegama,PER_100000_POP,Zegama,0.0
2020,,,,Zerain,PER_100000_POP,Zerain,0.0
2011,,,,Zerain,PER_100000_POP,Zerain,0.0
2010,,,,Zerain,PER_100000_POP,Zerain,0.0
2023,,,,Zerain,PER_100000_POP,Zerain,0.0
2021,,,,Zerain,PER_100000_POP,Zerain,0.0
2014,,,,Zerain,PER_100000_POP,Zerain,0.0
2017,,,,Zerain,PER_100000_POP,Zerain,0.0
2013,,,,Zerain,PER_100000_POP,Zerain,0.0
2012,,,,Zerain,PER_100000_POP,Zerain,0.0
2018,,,,Zerain,PER_100000_POP,Zerain,0.0
2016,,,,Zerain,PER_100000_POP,Zerain,0.0
2022,,,,Zerain,PER_100000_POP,Zerain,0.0
2019,,,,Zerain,PER_100000_POP,Zerain,0.0
2015,,,,Zerain,PER_100000_POP,Zerain,0.0
2012,,,,Zestoa,PER_100000_POP,Zestoa,0.0
2013,,,,Zestoa,PER_100000_POP,Zestoa,0.0
2010,,,,Zestoa,PER_100000_POP,Zestoa,0.0
2018,,,,Zestoa,PER_100000_POP,Zestoa,0.0
2011,,,,Zestoa,PER_100000_POP,Zestoa,0.0
2015,,,,Zestoa,PER_100000_POP,Zestoa,0.0
2019,,,,Zestoa,PER_100000_POP,Zestoa,0.0
