Year,Province,County,Municipality,Unidad,GeoCode,Value
2023,,,Tolosa,Euros,Tolosa,1503.3
2022,,,Urnieta,Euros,Urnieta,1292.9
2023,,,Urnieta,Euros,Urnieta,1429.3
2022,,,Usurbil,Euros,Usurbil,1387.8
2023,,,Usurbil,Euros,Usurbil,1514.2
2022,,,Bergara,Euros,Bergara,1352.0
2023,,,Bergara,Euros,Bergara,1482.9
2022,,,Villabona,Euros,Villabona,1320.6
2023,,,Villabona,Euros,Villabona,1453.0
2022,,,Ordizia,Euros,Ordizia,1464.0
2023,,,Ordizia,Euros,Ordizia,1616.8
2022,,,Urretxu,Euros,Urretxu,1413.5
2023,,,Urretxu,Euros,Urretxu,1556.9
2022,,,Zaldibia,Euros,Zaldibia,1372.3
2023,,,Zaldibia,Euros,Zaldibia,1495.1
2022,,,Zarautz,Euros,Zarautz,1371.0
2023,,,Zarautz,Euros,Zarautz,1508.0
2022,,,Zumarraga,Euros,Zumarraga,1432.2
2023,,,Zumarraga,Euros,Zumarraga,1565.0
2022,,,Zumaia,Euros,Zumaia,1429.4
2023,,,Zumaia,Euros,Zumaia,1564.5
2022,,,Mendaro,Euros,Mendaro,1264.3
2023,,,Mendaro,Euros,Mendaro,1392.6
2022,,,Lasarte-Oria,Euros,Lasarte-Oria,1390.4
2023,,,Lasarte-Oria,Euros,Lasarte-Oria,1518.4
2022,,,Astigarraga,Euros,Astigarraga,1299.4
2023,,,Astigarraga,Euros,Astigarraga,1417.3
2022,,,Baliarrain,Euros,Baliarrain,1197.2
2023,,,Baliarrain,Euros,Baliarrain,1344.4
2022,,,Orendain,Euros,Orendain,1067.7
2023,,,Orendain,Euros,Orendain,1194.9
2022,,,Altzaga,Euros,Altzaga,1264.8
2023,,,Altzaga,Euros,Altzaga,1344.4
2022,,,Gaztelu,Euros,Gaztelu,1212.2
2023,,,Gaztelu,Euros,Gaztelu,1314.3
2022,Bizkaia,,,Euros,Bizkaia,1364.3
