Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2018,,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,21.5
2015,,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,17.6
2022,,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,11.5
2023,,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,9.7
2020,,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,11.6
2016,,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,22.6
2010,,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,11.6
2021,,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,15.8
2023,,16 years and over,,,,,Ubide,%,Ubide,5.0
2010,,16 years and over,,,,,Ubide,%,Ubide,5.4
2020,,16 years and over,,,,,Ubide,%,Ubide,8.1
2016,,16 years and over,,,,,Ubide,%,Ubide,9.9
2018,,16 years and over,,,,,Ubide,%,Ubide,8.8
2015,,16 years and over,,,,,Ubide,%,Ubide,10.6
2019,,16 years and over,,,,,Ubide,%,Ubide,11.0
2021,,16 years and over,,,,,Ubide,%,Ubide,15.1
2022,,16 years and over,,,,,Ubide,%,Ubide,6.3
2020,,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,9.6
2016,,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,17.2
2010,,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,7.6
2023,,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,8.6
2019,,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,10.7
2015,,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,15.5
2022,,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,10.0
2021,,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,10.8
2018,,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,12.1
2021,,16 years and over,,,,,Urduliz,%,Urduliz,10.0
2018,,16 years and over,,,,,Urduliz,%,Urduliz,9.9
2019,,16 years and over,,,,,Urduliz,%,Urduliz,9.2
2010,,16 years and over,,,,,Urduliz,%,Urduliz,8.8
2015,,16 years and over,,,,,Urduliz,%,Urduliz,14.2
2023,,16 years and over,,,,,Urduliz,%,Urduliz,6.9
2022,,16 years and over,,,,,Urduliz,%,Urduliz,7.9
2016,,16 years and over,,,,,Urduliz,%,Urduliz,12.1
2020,,16 years and over,,,,,Urduliz,%,Urduliz,9.5
2015,,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,19.1
2018,,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,14.5
2021,,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,14.2
2020,,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,13.4
2016,,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,19.3
2022,,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,12.9
2010,,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,10.2
2023,,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,10.7
2019,,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,14.9
2016,,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,11.2
2018,,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,9.1
2022,,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,8.9
2023,,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,8.3
2021,,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,10.9
2010,,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,6.4
2019,,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,9.9
2020,,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,9.3
2015,,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,13.3
2018,,16 years and over,,,,,Urnieta,%,Urnieta,8.0
2015,,16 years and over,,,,,Urnieta,%,Urnieta,11.9
2010,,16 years and over,,,,,Urnieta,%,Urnieta,7.6
2021,,16 years and over,,,,,Urnieta,%,Urnieta,8.9
2019,,16 years and over,,,,,Urnieta,%,Urnieta,7.3
2016,,16 years and over,,,,,Urnieta,%,Urnieta,11.7
2022,,16 years and over,,,,,Urnieta,%,Urnieta,7.1
2020,,16 years and over,,,,,Urnieta,%,Urnieta,6.7
2023,,16 years and over,,,,,Urnieta,%,Urnieta,6.3
2019,,16 years and over,,,,,Urretxu,%,Urretxu,8.0
2020,,16 years and over,,,,,Urretxu,%,Urretxu,7.6
2015,,16 years and over,,,,,Urretxu,%,Urretxu,13.0
2021,,16 years and over,,,,,Urretxu,%,Urretxu,8.5
2016,,16 years and over,,,,,Urretxu,%,Urretxu,11.0
2022,,16 years and over,,,,,Urretxu,%,Urretxu,6.7
2023,,16 years and over,,,,,Urretxu,%,Urretxu,6.6
2018,,16 years and over,,,,,Urretxu,%,Urretxu,9.1
2010,,16 years and over,,,,,Urretxu,%,Urretxu,7.0
2019,,16 years and over,,,,,Usurbil,%,Usurbil,7.4
2016,,16 years and over,,,,,Usurbil,%,Usurbil,10.9
2018,,16 years and over,,,,,Usurbil,%,Usurbil,8.6
2015,,16 years and over,,,,,Usurbil,%,Usurbil,12.2
2020,,16 years and over,,,,,Usurbil,%,Usurbil,7.0
2010,,16 years and over,,,,,Usurbil,%,Usurbil,7.3
2022,,16 years and over,,,,,Usurbil,%,Usurbil,6.6
2023,,16 years and over,,,,,Usurbil,%,Usurbil,5.5
2021,,16 years and over,,,,,Usurbil,%,Usurbil,8.2
2019,,16 years and over,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,9.8
2022,,16 years and over,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,12.0
2023,,16 years and over,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,10.9
2016,,16 years and over,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,14.4
2010,,16 years and over,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,10.0
2021,,16 years and over,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,16.0
2018,,16 years and over,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,9.2
2015,,16 years and over,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,14.6
2020,,16 years and over,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,11.5
2022,,16 years and over,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,10.9
2020,,16 years and over,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,11.2
2010,,16 years and over,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,9.6
2023,,16 years and over,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,9.6
2015,,16 years and over,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,17.5
2018,,16 years and over,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,13.7
2016,,16 years and over,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,17.2
2019,,16 years and over,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,12.4
2021,,16 years and over,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,12.3
2010,,16 years and over,,,,,Villabona,%,Villabona,9.3
2015,,16 years and over,,,,,Villabona,%,Villabona,14.8
2016,,16 years and over,,,,,Villabona,%,Villabona,14.2
2019,,16 years and over,,,,,Villabona,%,Villabona,8.7
2018,,16 years and over,,,,,Villabona,%,Villabona,11.1
2023,,16 years and over,,,,,Villabona,%,Villabona,7.8
2021,,16 years and over,,,,,Villabona,%,Villabona,10.4
2020,,16 years and over,,,,,Villabona,%,Villabona,9.2
2022,,16 years and over,,,,,Villabona,%,Villabona,8.8
2016,,16 years and over,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,6.6
2019,,16 years and over,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,2.9
2010,,16 years and over,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,7.0
2023,,16 years and over,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,3.5
2018,,16 years and over,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,4.3
2021,,16 years and over,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,10.3
2022,,16 years and over,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,3.4
2020,,16 years and over,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,6.6
2015,,16 years and over,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,9.7
2019,,16 years and over,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,11.2
2023,,16 years and over,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,9.1
2022,,16 years and over,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,10.1
2021,,16 years and over,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,12.1
2020,,16 years and over,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,10.5
2018,,16 years and over,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,11.9
2015,,16 years and over,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,15.8
2010,,16 years and over,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,10.0
2016,,16 years and over,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,15.0
2022,,16 years and over,,,,,Yécora/Iekora,%,Yécora/Iekora,5.1
2023,,16 years and over,,,,,Yécora/Iekora,%,Yécora/Iekora,7.4
2010,,16 years and over,,,,,Yécora/Iekora,%,Yécora/Iekora,12.3
2019,,16 years and over,,,,,Yécora/Iekora,%,Yécora/Iekora,8.2
2018,,16 years and over,,,,,Yécora/Iekora,%,Yécora/Iekora,9.2
2020,,16 years and over,,,,,Yécora/Iekora,%,Yécora/Iekora,11.2
2021,,16 years and over,,,,,Yécora/Iekora,%,Yécora/Iekora,9.8
2016,,16 years and over,,,,,Yécora/Iekora,%,Yécora/Iekora,17.3
2015,,16 years and over,,,,,Yécora/Iekora,%,Yécora/Iekora,20.2
2015,,16 years and over,,,,,Zaldibar,%,Zaldibar,13.8
2016,,16 years and over,,,,,Zaldibar,%,Zaldibar,12.9
2022,,16 years and over,,,,,Zaldibar,%,Zaldibar,7.7
2010,,16 years and over,,,,,Zaldibar,%,Zaldibar,8.8
2018,,16 years and over,,,,,Zaldibar,%,Zaldibar,9.9
2020,,16 years and over,,,,,Zaldibar,%,Zaldibar,7.3
2023,,16 years and over,,,,,Zaldibar,%,Zaldibar,7.3
2021,,16 years and over,,,,,Zaldibar,%,Zaldibar,9.5
2019,,16 years and over,,,,,Zaldibar,%,Zaldibar,9.7
2022,,16 years and over,,,,,Zaldibia,%,Zaldibia,7.4
2019,,16 years and over,,,,,Zaldibia,%,Zaldibia,6.3
2015,,16 years and over,,,,,Zaldibia,%,Zaldibia,12.7
2020,,16 years and over,,,,,Zaldibia,%,Zaldibia,5.7
2021,,16 years and over,,,,,Zaldibia,%,Zaldibia,9.1
