Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,,,ES01057,PT,ES01057,13.8
2020,,,ES01057,PT,ES01057,14.7
2014,,,ES01058,PT,ES01058,1.6
2015,,,ES01058,PT,ES01058,1.2
2016,,,ES01058,PT,ES01058,0.9
2017,,,ES01058,PT,ES01058,0.6
2018,,,ES01058,PT,ES01058,0.6
2019,,,ES01058,PT,ES01058,0.4
2020,,,ES01058,PT,ES01058,0.5
2014,,,ES01059,PT,ES01059,0.2
2015,,,ES01059,PT,ES01059,0.2
2016,,,ES01059,PT,ES01059,0.2
2017,,,ES01059,PT,ES01059,0.2
2018,,,ES01059,PT,ES01059,0.2
2019,,,ES01059,PT,ES01059,0.2
2020,,,ES01059,PT,ES01059,0.2
2014,,ES0106,,PT,ES0106,1.7
2015,,ES0106,,PT,ES0106,1.3
2016,,ES0106,,PT,ES0106,1.3
2017,,ES0106,,PT,ES0106,1.3
2018,,ES0106,,PT,ES0106,1.2
2019,,ES0106,,PT,ES0106,0.9
2020,,ES0106,,PT,ES0106,0.9
2014,,,ES01060,PT,ES01060,41.0
2015,,,ES01060,PT,ES01060,46.7
2016,,,ES01060,PT,ES01060,53.0
2017,,,ES01060,PT,ES01060,58.5
2018,,,ES01060,PT,ES01060,66.1
2019,,,ES01060,PT,ES01060,63.4
2020,,,ES01060,PT,ES01060,60.3
2014,,,ES01061,PT,ES01061,32.1
2015,,,ES01061,PT,ES01061,29.5
2016,,,ES01061,PT,ES01061,27.3
2017,,,ES01061,PT,ES01061,23.9
2018,,,ES01061,PT,ES01061,27.1
2019,,,ES01061,PT,ES01061,25.8
2020,,,ES01061,PT,ES01061,23.8
2014,,,ES01062,PT,ES01062,30.2
2015,,,ES01062,PT,ES01062,33.3
2016,,,ES01062,PT,ES01062,28.7
2017,,,ES01062,PT,ES01062,24.3
2018,,,ES01062,PT,ES01062,22.8
2019,,,ES01062,PT,ES01062,20.9
2020,,,ES01062,PT,ES01062,16.1
2014,,,ES01063,PT,ES01063,5.8
2015,,,ES01063,PT,ES01063,3.9
2016,,,ES01063,PT,ES01063,3.9
2017,,,ES01063,PT,ES01063,4.1
2018,,,ES01063,PT,ES01063,4.7
2019,,,ES01063,PT,ES01063,3.2
2020,,,ES01063,PT,ES01063,3.3
2014,,,ES01901,PT,ES01901,1.4
2015,,,ES01901,PT,ES01901,1.2
2016,,,ES01901,PT,ES01901,1.0
2017,,,ES01901,PT,ES01901,0.9
2018,,,ES01901,PT,ES01901,0.9
2019,,,ES01901,PT,ES01901,0.9
2020,,,ES01901,PT,ES01901,0.7
2014,,,ES01902,PT,ES01902,5.7
2015,,,ES01902,PT,ES01902,4.5
2016,,,ES01902,PT,ES01902,3.8
2017,,,ES01902,PT,ES01902,3.4
2018,,,ES01902,PT,ES01902,3.0
2019,,,ES01902,PT,ES01902,3.1
2020,,,ES01902,PT,ES01902,2.8
2010,ES212,,,PT,ES212,0.5
2011,ES212,,,PT,ES212,0.5
2012,ES212,,,PT,ES212,0.6
2013,ES212,,,PT,ES212,0.5
2014,ES212,,,PT,ES212,0.5
2015,ES212,,,PT,ES212,0.5
2016,ES212,,,PT,ES212,0.5
2017,ES212,,,PT,ES212,0.6
2018,ES212,,,PT,ES212,0.5
2019,ES212,,,PT,ES212,0.6
2020,ES212,,,PT,ES212,0.5
2021,ES212,,,PT,ES212,0.6
2022,ES212,,,PT,ES212,0.7
2014,,,ES20001,PT,ES20001,6.7
2015,,,ES20001,PT,ES20001,9.7
2016,,,ES20001,PT,ES20001,7.7
2017,,,ES20001,PT,ES20001,7.0
2018,,,ES20001,PT,ES20001,5.6
2019,,,ES20001,PT,ES20001,6.5
2020,,,ES20001,PT,ES20001,6.5
