Year,Territorio,Comarca,Municipio,Unidad,GeoCode,Value
2022,,,ES48022,EUR,ES48022,977.8
2023,,,ES48022,EUR,ES48022,1073.3
2022,,,ES48023,EUR,ES48023,1582.2
2023,,,ES48023,EUR,ES48023,1701.5
2022,,,ES48024,EUR,ES48024,1352.1
2023,,,ES48024,EUR,ES48024,1495.8
2022,,,ES48025,EUR,ES48025,1350.6
2023,,,ES48025,EUR,ES48025,1466.3
2022,,,ES48026,EUR,ES48026,1267.4
2023,,,ES48026,EUR,ES48026,1400.9
2022,,,ES48027,EUR,ES48027,1437.1
2023,,,ES48027,EUR,ES48027,1574.6
2022,,,ES48028,EUR,ES48028,1157.4
2023,,,ES48028,EUR,ES48028,1299.8
2022,,,ES48029,EUR,ES48029,1313.8
2023,,,ES48029,EUR,ES48029,1428.0
2022,,ES4803,,EUR,ES4803,1389.8
2023,,ES4803,,EUR,ES4803,1521.6
2022,,,ES48030,EUR,ES48030,1212.6
2023,,,ES48030,EUR,ES48030,1326.8
2022,,,ES48031,EUR,ES48031,1102.1
2023,,,ES48031,EUR,ES48031,1169.1
2022,,,ES48032,EUR,ES48032,1341.2
2023,,,ES48032,EUR,ES48032,1468.1
2022,,,ES48033,EUR,ES48033,1206.5
2023,,,ES48033,EUR,ES48033,1351.3
2022,,,ES48034,EUR,ES48034,1350.6
2023,,,ES48034,EUR,ES48034,1477.2
2022,,,ES48035,EUR,ES48035,1235.9
2023,,,ES48035,EUR,ES48035,1368.5
2022,,,ES48036,EUR,ES48036,1484.6
2023,,,ES48036,EUR,ES48036,1625.6
2022,,,ES48037,EUR,ES48037,1194.3
2023,,,ES48037,EUR,ES48037,1336.5
2022,,,ES48038,EUR,ES48038,1340.8
2023,,,ES48038,EUR,ES48038,1508.9
2022,,,ES48039,EUR,ES48039,1461.6
2023,,,ES48039,EUR,ES48039,1578.5
2022,,ES4804,,EUR,ES4804,1231.7
2023,,ES4804,,EUR,ES4804,1357.3
2022,,,ES48040,EUR,ES48040,1431.2
2023,,,ES48040,EUR,ES48040,1559.6
2022,,,ES48041,EUR,ES48041,1379.9
2023,,,ES48041,EUR,ES48041,1497.6
2022,,,ES48042,EUR,ES48042,1326.8
2023,,,ES48042,EUR,ES48042,1455.9
2022,,,ES48043,EUR,ES48043,1456.3
2023,,,ES48043,EUR,ES48043,1595.8
2022,,,ES48044,EUR,ES48044,1597.4
2023,,,ES48044,EUR,ES48044,1748.9
2022,,,ES48045,EUR,ES48045,1219.1
2023,,,ES48045,EUR,ES48045,1353.9
2022,,,ES48046,EUR,ES48046,1252.7
2023,,,ES48046,EUR,ES48046,1373.7
2022,,,ES48047,EUR,ES48047,1115.2
2023,,,ES48047,EUR,ES48047,1224.3
2022,,,ES48048,EUR,ES48048,1378.4
2023,,,ES48048,EUR,ES48048,1528.6
2022,,,ES48049,EUR,ES48049,1083.2
2023,,,ES48049,EUR,ES48049,1219.8
2022,,ES4805,,EUR,ES4805,1222.9
2023,,ES4805,,EUR,ES4805,1348.0
2022,,,ES48050,EUR,ES48050,1470.4
2023,,,ES48050,EUR,ES48050,1568.0
2022,,,ES48051,EUR,ES48051,836.6
2023,,,ES48051,EUR,ES48051,933.2
2022,,,ES48052,EUR,ES48052,1391.9
2023,,,ES48052,EUR,ES48052,1514.9
2022,,,ES48053,EUR,ES48053,1485.4
2023,,,ES48053,EUR,ES48053,1630.5
2022,,,ES48054,EUR,ES48054,1448.3
2023,,,ES48054,EUR,ES48054,1584.0
2022,,,ES48055,EUR,ES48055,1375.9
2023,,,ES48055,EUR,ES48055,1523.0
2022,,,ES48056,EUR,ES48056,1308.9
