Year,Series,Energia,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,8262.7
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,8159.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,8193.3
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,7358.5
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,6655.3
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,7195.6
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,8297.9
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,7862.9
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,7926.8
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,8024.7
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,8515.3
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,6890.5
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,687.3
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,715.6
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,877.4
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,707.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,873.8
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,712.9
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,707.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,588.5
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,710.4
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,689.7
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,703.1
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,716.2
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20040,W_PER_CAPITA,ES20040,710.2
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20041,W_PER_CAPITA,ES20041,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20036,W_PER_CAPITA,ES20036,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20042,W_PER_CAPITA,ES20042,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48048,W_PER_CAPITA,ES48048,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20043,W_PER_CAPITA,ES20043,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48094,W_PER_CAPITA,ES48094,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,21731.2
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,21555.6
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,23004.3
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,23145.3
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,22463.2
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,21087.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,22045.5
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,22045.5
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,23145.3
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,23203.5
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,22416.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,21954.7
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20044,W_PER_CAPITA,ES20044,22416.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,295.9
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,296.2
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,294.5
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,296.9
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,293.4
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,296.0
