Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,3931.4
2013,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,3847.9
2015,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,3830.3
2010,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,3987.8
2012,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,3567.1
2021,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,4099.1
2018,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,4160.3
2011,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,3876.8
2016,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,3779.0
2013,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2449.0
2020,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2314.3
2018,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2409.8
2010,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2758.3
2014,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2265.6
2021,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2824.0
2019,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2321.2
2022,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2384.1
2011,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2724.4
2017,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2637.1
2016,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2673.1
2015,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2186.3
2012,Consumo de energía eléctrica por habitante ,,,Lanestosa,Kw per cápita diario,Lanestosa,2632.4
2022,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,67273.5
2010,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,58074.0
2018,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,73641.3
2012,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,75087.3
2014,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,69987.7
2017,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,73462.1
2016,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,70577.0
2011,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,56060.5
2015,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,72798.7
2019,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,73344.3
2020,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,69452.5
2013,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,64203.3
2021,Consumo de energía eléctrica por habitante ,,,Lantarón,Kw per cápita diario,Lantarón,87240.7
2012,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,8170.2
2016,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,7934.4
2010,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,7128.7
2021,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,7509.2
2015,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,7332.6
