Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2010,Baso-azalera azalera osoaren proportzioan,,,Errenteria,Porcentaje,Errenteria,67.9
2022,Baso-azalera azalera osoaren proportzioan,,,Errenteria,Porcentaje,Errenteria,66.7
2019,Baso-azalera azalera osoaren proportzioan,,,Errenteria,Porcentaje,Errenteria,66.5
2018,Baso-azalera azalera osoaren proportzioan,,,Errenteria,Porcentaje,Errenteria,66.1
2022,Baso-azalera azalera osoaren proportzioan,,,Errezil,Porcentaje,Errezil,59.2
2019,Baso-azalera azalera osoaren proportzioan,,,Errezil,Porcentaje,Errezil,58.4
2021,Baso-azalera azalera osoaren proportzioan,,,Errezil,Porcentaje,Errezil,59.0
2010,Baso-azalera azalera osoaren proportzioan,,,Errezil,Porcentaje,Errezil,60.5
2016,Baso-azalera azalera osoaren proportzioan,,,Errezil,Porcentaje,Errezil,59.8
2020,Baso-azalera azalera osoaren proportzioan,,,Errezil,Porcentaje,Errezil,59.1
2018,Baso-azalera azalera osoaren proportzioan,,,Errezil,Porcentaje,Errezil,58.1
2016,Baso-azalera azalera osoaren proportzioan,,,Erriberagoitia / Ribera Alta,Porcentaje,Erriberagoitia / Ribera Alta,49.9
2022,Baso-azalera azalera osoaren proportzioan,,,Erriberagoitia / Ribera Alta,Porcentaje,Erriberagoitia / Ribera Alta,49.8
2020,Baso-azalera azalera osoaren proportzioan,,,Erriberagoitia / Ribera Alta,Porcentaje,Erriberagoitia / Ribera Alta,49.8
2018,Baso-azalera azalera osoaren proportzioan,,,Erriberagoitia / Ribera Alta,Porcentaje,Erriberagoitia / Ribera Alta,49.9
2019,Baso-azalera azalera osoaren proportzioan,,,Erriberagoitia / Ribera Alta,Porcentaje,Erriberagoitia / Ribera Alta,49.9
2010,Baso-azalera azalera osoaren proportzioan,,,Erriberagoitia / Ribera Alta,Porcentaje,Erriberagoitia / Ribera Alta,49.5
2021,Baso-azalera azalera osoaren proportzioan,,,Erriberagoitia / Ribera Alta,Porcentaje,Erriberagoitia / Ribera Alta,49.8
2022,Baso-azalera azalera osoaren proportzioan,,,Errigoiti,Porcentaje,Errigoiti,69.2
2020,Baso-azalera azalera osoaren proportzioan,,,Errigoiti,Porcentaje,Errigoiti,69.7
2016,Baso-azalera azalera osoaren proportzioan,,,Errigoiti,Porcentaje,Errigoiti,71.6
2019,Baso-azalera azalera osoaren proportzioan,,,Errigoiti,Porcentaje,Errigoiti,69.2
2018,Baso-azalera azalera osoaren proportzioan,,,Errigoiti,Porcentaje,Errigoiti,68.6
2021,Baso-azalera azalera osoaren proportzioan,,,Errigoiti,Porcentaje,Errigoiti,69.3
2010,Baso-azalera azalera osoaren proportzioan,,,Errigoiti,Porcentaje,Errigoiti,70.7
2018,Baso-azalera azalera osoaren proportzioan,,,Eskoriatza,Porcentaje,Eskoriatza,61.7
2020,Baso-azalera azalera osoaren proportzioan,,,Eskoriatza,Porcentaje,Eskoriatza,61.9
2016,Baso-azalera azalera osoaren proportzioan,,,Eskoriatza,Porcentaje,Eskoriatza,62.9
2019,Baso-azalera azalera osoaren proportzioan,,,Eskoriatza,Porcentaje,Eskoriatza,61.8
2022,Baso-azalera azalera osoaren proportzioan,,,Eskoriatza,Porcentaje,Eskoriatza,62.1
2021,Baso-azalera azalera osoaren proportzioan,,,Eskoriatza,Porcentaje,Eskoriatza,62.0
2010,Baso-azalera azalera osoaren proportzioan,,,Eskoriatza,Porcentaje,Eskoriatza,63.3
2020,Baso-azalera azalera osoaren proportzioan,,,Etxebarri,Porcentaje,Etxebarri,38.9
2018,Baso-azalera azalera osoaren proportzioan,,,Etxebarri,Porcentaje,Etxebarri,38.9
2022,Baso-azalera azalera osoaren proportzioan,,,Etxebarri,Porcentaje,Etxebarri,40.8
2010,Baso-azalera azalera osoaren proportzioan,,,Etxebarri,Porcentaje,Etxebarri,40.0
2019,Baso-azalera azalera osoaren proportzioan,,,Etxebarri,Porcentaje,Etxebarri,38.9
2016,Baso-azalera azalera osoaren proportzioan,,,Etxebarri,Porcentaje,Etxebarri,38.9
2021,Baso-azalera azalera osoaren proportzioan,,,Etxebarri,Porcentaje,Etxebarri,40.9
2021,Baso-azalera azalera osoaren proportzioan,,,Etxebarria,Porcentaje,Etxebarria,72.3
2016,Baso-azalera azalera osoaren proportzioan,,,Etxebarria,Porcentaje,Etxebarria,73.2
2020,Baso-azalera azalera osoaren proportzioan,,,Etxebarria,Porcentaje,Etxebarria,71.1
2019,Baso-azalera azalera osoaren proportzioan,,,Etxebarria,Porcentaje,Etxebarria,70.7
2022,Baso-azalera azalera osoaren proportzioan,,,Etxebarria,Porcentaje,Etxebarria,73.0
2010,Baso-azalera azalera osoaren proportzioan,,,Etxebarria,Porcentaje,Etxebarria,71.6
2018,Baso-azalera azalera osoaren proportzioan,,,Etxebarria,Porcentaje,Etxebarria,70.6
2019,Baso-azalera azalera osoaren proportzioan,,,Ezkio-Itsaso,Porcentaje,Ezkio-Itsaso,68.7
2020,Baso-azalera azalera osoaren proportzioan,,,Ezkio-Itsaso,Porcentaje,Ezkio-Itsaso,69.2
2018,Baso-azalera azalera osoaren proportzioan,,,Ezkio-Itsaso,Porcentaje,Ezkio-Itsaso,68.7
2022,Baso-azalera azalera osoaren proportzioan,,,Ezkio-Itsaso,Porcentaje,Ezkio-Itsaso,69.7
2016,Baso-azalera azalera osoaren proportzioan,,,Ezkio-Itsaso,Porcentaje,Ezkio-Itsaso,70.7
2021,Baso-azalera azalera osoaren proportzioan,,,Ezkio-Itsaso,Porcentaje,Ezkio-Itsaso,69.5
2010,Baso-azalera azalera osoaren proportzioan,,,Ezkio-Itsaso,Porcentaje,Ezkio-Itsaso,73.2
2019,Baso-azalera azalera osoaren proportzioan,,,Forua,Porcentaje,Forua,55.8
2010,Baso-azalera azalera osoaren proportzioan,,,Forua,Porcentaje,Forua,53.1
2022,Baso-azalera azalera osoaren proportzioan,,,Forua,Porcentaje,Forua,55.6
2016,Baso-azalera azalera osoaren proportzioan,,,Forua,Porcentaje,Forua,57.3
2020,Baso-azalera azalera osoaren proportzioan,,,Forua,Porcentaje,Forua,55.8
2021,Baso-azalera azalera osoaren proportzioan,,,Forua,Porcentaje,Forua,55.8
2018,Baso-azalera azalera osoaren proportzioan,,,Forua,Porcentaje,Forua,55.8
2021,Baso-azalera azalera osoaren proportzioan,,,Fruiz,Porcentaje,Fruiz,46.8
2018,Baso-azalera azalera osoaren proportzioan,,,Fruiz,Porcentaje,Fruiz,46.2
2016,Baso-azalera azalera osoaren proportzioan,,,Fruiz,Porcentaje,Fruiz,46.8
2019,Baso-azalera azalera osoaren proportzioan,,,Fruiz,Porcentaje,Fruiz,46.5
2022,Baso-azalera azalera osoaren proportzioan,,,Fruiz,Porcentaje,Fruiz,46.9
2010,Baso-azalera azalera osoaren proportzioan,,,Fruiz,Porcentaje,Fruiz,45.2
2020,Baso-azalera azalera osoaren proportzioan,,,Fruiz,Porcentaje,Fruiz,46.8
2016,Baso-azalera azalera osoaren proportzioan,,,Gabiria,Porcentaje,Gabiria,64.9
2022,Baso-azalera azalera osoaren proportzioan,,,Gabiria,Porcentaje,Gabiria,63.6
2018,Baso-azalera azalera osoaren proportzioan,,,Gabiria,Porcentaje,Gabiria,63.2
2010,Baso-azalera azalera osoaren proportzioan,,,Gabiria,Porcentaje,Gabiria,65.7
2020,Baso-azalera azalera osoaren proportzioan,,,Gabiria,Porcentaje,Gabiria,63.2
2019,Baso-azalera azalera osoaren proportzioan,,,Gabiria,Porcentaje,Gabiria,63.1
2021,Baso-azalera azalera osoaren proportzioan,,,Gabiria,Porcentaje,Gabiria,63.5
2010,Baso-azalera azalera osoaren proportzioan,,,Gaintza,Porcentaje,Gaintza,66.5
2018,Baso-azalera azalera osoaren proportzioan,,,Gaintza,Porcentaje,Gaintza,65.6
2020,Baso-azalera azalera osoaren proportzioan,,,Gaintza,Porcentaje,Gaintza,65.6
2022,Baso-azalera azalera osoaren proportzioan,,,Gaintza,Porcentaje,Gaintza,65.6
2019,Baso-azalera azalera osoaren proportzioan,,,Gaintza,Porcentaje,Gaintza,65.6
2021,Baso-azalera azalera osoaren proportzioan,,,Gaintza,Porcentaje,Gaintza,65.6
2016,Baso-azalera azalera osoaren proportzioan,,,Gaintza,Porcentaje,Gaintza,67.8
2020,Baso-azalera azalera osoaren proportzioan,,,Galdakao,Porcentaje,Galdakao,60.1
2016,Baso-azalera azalera osoaren proportzioan,,,Galdakao,Porcentaje,Galdakao,60.1
2019,Baso-azalera azalera osoaren proportzioan,,,Galdakao,Porcentaje,Galdakao,59.9
2022,Baso-azalera azalera osoaren proportzioan,,,Galdakao,Porcentaje,Galdakao,61.0
2010,Baso-azalera azalera osoaren proportzioan,,,Galdakao,Porcentaje,Galdakao,59.1
2018,Baso-azalera azalera osoaren proportzioan,,,Galdakao,Porcentaje,Galdakao,59.9
2021,Baso-azalera azalera osoaren proportzioan,,,Galdakao,Porcentaje,Galdakao,61.2
2010,Baso-azalera azalera osoaren proportzioan,,,Galdames,Porcentaje,Galdames,62.8
2018,Baso-azalera azalera osoaren proportzioan,,,Galdames,Porcentaje,Galdames,61.4
2020,Baso-azalera azalera osoaren proportzioan,,,Galdames,Porcentaje,Galdames,61.8
2019,Baso-azalera azalera osoaren proportzioan,,,Galdames,Porcentaje,Galdames,61.5
2021,Baso-azalera azalera osoaren proportzioan,,,Galdames,Porcentaje,Galdames,62.0
2016,Baso-azalera azalera osoaren proportzioan,,,Galdames,Porcentaje,Galdames,62.2
2022,Baso-azalera azalera osoaren proportzioan,,,Galdames,Porcentaje,Galdames,62.0
2010,Baso-azalera azalera osoaren proportzioan,,,Gamiz-Fika,Porcentaje,Gamiz-Fika,44.7
2016,Baso-azalera azalera osoaren proportzioan,,,Gamiz-Fika,Porcentaje,Gamiz-Fika,46.3
2022,Baso-azalera azalera osoaren proportzioan,,,Gamiz-Fika,Porcentaje,Gamiz-Fika,46.2
2021,Baso-azalera azalera osoaren proportzioan,,,Gamiz-Fika,Porcentaje,Gamiz-Fika,46.2
2018,Baso-azalera azalera osoaren proportzioan,,,Gamiz-Fika,Porcentaje,Gamiz-Fika,45.8
2020,Baso-azalera azalera osoaren proportzioan,,,Gamiz-Fika,Porcentaje,Gamiz-Fika,46.4
2019,Baso-azalera azalera osoaren proportzioan,,,Gamiz-Fika,Porcentaje,Gamiz-Fika,45.6
2016,Baso-azalera azalera osoaren proportzioan,,,Garai,Porcentaje,Garai,71.9
2019,Baso-azalera azalera osoaren proportzioan,,,Garai,Porcentaje,Garai,70.4
2022,Baso-azalera azalera osoaren proportzioan,,,Garai,Porcentaje,Garai,71.3
2021,Baso-azalera azalera osoaren proportzioan,,,Garai,Porcentaje,Garai,71.2
2018,Baso-azalera azalera osoaren proportzioan,,,Garai,Porcentaje,Garai,70.3
2010,Baso-azalera azalera osoaren proportzioan,,,Garai,Porcentaje,Garai,75.8
2020,Baso-azalera azalera osoaren proportzioan,,,Garai,Porcentaje,Garai,71.2
2022,Baso-azalera azalera osoaren proportzioan,,,Gatika,Porcentaje,Gatika,42.8
2021,Baso-azalera azalera osoaren proportzioan,,,Gatika,Porcentaje,Gatika,42.8
2019,Baso-azalera azalera osoaren proportzioan,,,Gatika,Porcentaje,Gatika,39.8
2016,Baso-azalera azalera osoaren proportzioan,,,Gatika,Porcentaje,Gatika,40.0
2010,Baso-azalera azalera osoaren proportzioan,,,Gatika,Porcentaje,Gatika,40.6
2020,Baso-azalera azalera osoaren proportzioan,,,Gatika,Porcentaje,Gatika,42.1
2018,Baso-azalera azalera osoaren proportzioan,,,Gatika,Porcentaje,Gatika,39.3
2010,Baso-azalera azalera osoaren proportzioan,,,Gautegiz Arteaga,Porcentaje,Gautegiz Arteaga,61.9
2018,Baso-azalera azalera osoaren proportzioan,,,Gautegiz Arteaga,Porcentaje,Gautegiz Arteaga,61.0
2022,Baso-azalera azalera osoaren proportzioan,,,Gautegiz Arteaga,Porcentaje,Gautegiz Arteaga,61.8
2020,Baso-azalera azalera osoaren proportzioan,,,Gautegiz Arteaga,Porcentaje,Gautegiz Arteaga,61.0
2021,Baso-azalera azalera osoaren proportzioan,,,Gautegiz Arteaga,Porcentaje,Gautegiz Arteaga,61.1
2019,Baso-azalera azalera osoaren proportzioan,,,Gautegiz Arteaga,Porcentaje,Gautegiz Arteaga,61.0
2016,Baso-azalera azalera osoaren proportzioan,,,Gautegiz Arteaga,Porcentaje,Gautegiz Arteaga,62.2
2018,Baso-azalera azalera osoaren proportzioan,,,Gaztelu,Porcentaje,Gaztelu,74.8
2016,Baso-azalera azalera osoaren proportzioan,,,Gaztelu,Porcentaje,Gaztelu,77.5
2022,Baso-azalera azalera osoaren proportzioan,,,Gaztelu,Porcentaje,Gaztelu,75.1
2021,Baso-azalera azalera osoaren proportzioan,,,Gaztelu,Porcentaje,Gaztelu,75.0
2010,Baso-azalera azalera osoaren proportzioan,,,Gaztelu,Porcentaje,Gaztelu,75.4
2020,Baso-azalera azalera osoaren proportzioan,,,Gaztelu,Porcentaje,Gaztelu,75.0
2019,Baso-azalera azalera osoaren proportzioan,,,Gaztelu,Porcentaje,Gaztelu,74.8
2016,Baso-azalera azalera osoaren proportzioan,,,Gernika-Lumo,Porcentaje,Gernika-Lumo,46.5
2022,Baso-azalera azalera osoaren proportzioan,,,Gernika-Lumo,Porcentaje,Gernika-Lumo,46.8
2019,Baso-azalera azalera osoaren proportzioan,,,Gernika-Lumo,Porcentaje,Gernika-Lumo,46.2
2018,Baso-azalera azalera osoaren proportzioan,,,Gernika-Lumo,Porcentaje,Gernika-Lumo,45.6
2010,Baso-azalera azalera osoaren proportzioan,,,Gernika-Lumo,Porcentaje,Gernika-Lumo,45.6
2020,Baso-azalera azalera osoaren proportzioan,,,Gernika-Lumo,Porcentaje,Gernika-Lumo,46.2
2021,Baso-azalera azalera osoaren proportzioan,,,Gernika-Lumo,Porcentaje,Gernika-Lumo,46.8
2022,Baso-azalera azalera osoaren proportzioan,,,Getaria,Porcentaje,Getaria,22.6
2020,Baso-azalera azalera osoaren proportzioan,,,Getaria,Porcentaje,Getaria,22.6
2018,Baso-azalera azalera osoaren proportzioan,,,Getaria,Porcentaje,Getaria,22.0
2016,Baso-azalera azalera osoaren proportzioan,,,Getaria,Porcentaje,Getaria,23.4
2021,Baso-azalera azalera osoaren proportzioan,,,Getaria,Porcentaje,Getaria,22.6
2019,Baso-azalera azalera osoaren proportzioan,,,Getaria,Porcentaje,Getaria,22.6
2010,Baso-azalera azalera osoaren proportzioan,,,Getaria,Porcentaje,Getaria,25.9
2016,Baso-azalera azalera osoaren proportzioan,,,Getxo,Porcentaje,Getxo,6.3
2020,Baso-azalera azalera osoaren proportzioan,,,Getxo,Porcentaje,Getxo,6.7
2010,Baso-azalera azalera osoaren proportzioan,,,Getxo,Porcentaje,Getxo,6.2
2021,Baso-azalera azalera osoaren proportzioan,,,Getxo,Porcentaje,Getxo,6.7
2019,Baso-azalera azalera osoaren proportzioan,,,Getxo,Porcentaje,Getxo,6.7
2018,Baso-azalera azalera osoaren proportzioan,,,Getxo,Porcentaje,Getxo,6.3
2022,Baso-azalera azalera osoaren proportzioan,,,Getxo,Porcentaje,Getxo,6.7
2010,Baso-azalera azalera osoaren proportzioan,,,Gizaburuaga,Porcentaje,Gizaburuaga,73.2
2018,Baso-azalera azalera osoaren proportzioan,,,Gizaburuaga,Porcentaje,Gizaburuaga,78.4
2020,Baso-azalera azalera osoaren proportzioan,,,Gizaburuaga,Porcentaje,Gizaburuaga,79.0
2019,Baso-azalera azalera osoaren proportzioan,,,Gizaburuaga,Porcentaje,Gizaburuaga,79.0
2016,Baso-azalera azalera osoaren proportzioan,,,Gizaburuaga,Porcentaje,Gizaburuaga,78.4
2022,Baso-azalera azalera osoaren proportzioan,,,Gizaburuaga,Porcentaje,Gizaburuaga,79.6
2021,Baso-azalera azalera osoaren proportzioan,,,Gizaburuaga,Porcentaje,Gizaburuaga,78.8
2021,Baso-azalera azalera osoaren proportzioan,,,Gordexola,Porcentaje,Gordexola,81.9
2018,Baso-azalera azalera osoaren proportzioan,,,Gordexola,Porcentaje,Gordexola,80.6
2010,Baso-azalera azalera osoaren proportzioan,,,Gordexola,Porcentaje,Gordexola,81.9
2019,Baso-azalera azalera osoaren proportzioan,,,Gordexola,Porcentaje,Gordexola,81.0
2022,Baso-azalera azalera osoaren proportzioan,,,Gordexola,Porcentaje,Gordexola,82.0
2016,Baso-azalera azalera osoaren proportzioan,,,Gordexola,Porcentaje,Gordexola,81.7
2020,Baso-azalera azalera osoaren proportzioan,,,Gordexola,Porcentaje,Gordexola,81.1
2016,Baso-azalera azalera osoaren proportzioan,,,Gorliz,Porcentaje,Gorliz,25.7
2020,Baso-azalera azalera osoaren proportzioan,,,Gorliz,Porcentaje,Gorliz,30.1
2019,Baso-azalera azalera osoaren proportzioan,,,Gorliz,Porcentaje,Gorliz,25.8
