Year,Teknologia berriztagarri mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2014,,,,Antzuola,W_PER_CAPITA,Antzuola,10.5
2020,,,,Antzuola,W_PER_CAPITA,Antzuola,18.5
2012,,,,Antzuola,W_PER_CAPITA,Antzuola,7.7
2013,,,,Antzuola,W_PER_CAPITA,Antzuola,7.7
2022,,,,Antzuola,W_PER_CAPITA,Antzuola,52.4
2018,,,,Antzuola,W_PER_CAPITA,Antzuola,12.3
2016,,,,Antzuola,W_PER_CAPITA,Antzuola,11.2
2010,,,,Antzuola,W_PER_CAPITA,Antzuola,7.8
2023,,,,Antzuola,W_PER_CAPITA,Antzuola,52.5
2011,,,,Antzuola,W_PER_CAPITA,Antzuola,7.8
2021,,,,Antzuola,W_PER_CAPITA,Antzuola,49.8
2015,,,,Antzuola,W_PER_CAPITA,Antzuola,10.7
2013,,,,Añana,W_PER_CAPITA,Añana,33.9
2017,,,,Añana,W_PER_CAPITA,Añana,33.3
2015,,,,Añana,W_PER_CAPITA,Añana,35.2
2011,,,,Añana,W_PER_CAPITA,Añana,34.5
2016,,,,Añana,W_PER_CAPITA,Añana,33.5
2018,,,,Añana,W_PER_CAPITA,Añana,32.3
2022,,,,Añana,W_PER_CAPITA,Añana,33.7
2023,,,,Añana,W_PER_CAPITA,Añana,35.9
2014,,,,Añana,W_PER_CAPITA,Añana,35.9
2019,,,,Añana,W_PER_CAPITA,Añana,33.5
2012,,,,Añana,W_PER_CAPITA,Añana,36.1
2010,,,,Añana,W_PER_CAPITA,Añana,34.7
2020,,,,Añana,W_PER_CAPITA,Añana,34.3
2021,,,,Añana,W_PER_CAPITA,Añana,33.7
2023,,,,Arakaldo,W_PER_CAPITA,Arakaldo,36.0
2016,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2019,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2022,,,,Arakaldo,W_PER_CAPITA,Arakaldo,35.4
2013,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2017,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2014,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2020,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2018,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2010,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2021,,,,Arakaldo,W_PER_CAPITA,Arakaldo,37.3
2015,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2011,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2012,,,,Arakaldo,W_PER_CAPITA,Arakaldo,0.0
2017,,,,Arama,W_PER_CAPITA,Arama,110.0
2013,,,,Arama,W_PER_CAPITA,Arama,104.5
2021,,,,Arama,W_PER_CAPITA,Arama,116.2
2012,,,,Arama,W_PER_CAPITA,Arama,104.5
2011,,,,Arama,W_PER_CAPITA,Arama,115.0
2015,,,,Arama,W_PER_CAPITA,Arama,109.5
2018,,,,Arama,W_PER_CAPITA,Arama,113.9
2023,,,,Arama,W_PER_CAPITA,Arama,143.8
2022,,,,Arama,W_PER_CAPITA,Arama,117.9
2016,,,,Arama,W_PER_CAPITA,Arama,109.0
2014,,,,Arama,W_PER_CAPITA,Arama,108.0
2010,,,,Arama,W_PER_CAPITA,Arama,0.0
2020,,,,Arama,W_PER_CAPITA,Arama,112.2
2019,,,,Arama,W_PER_CAPITA,Arama,112.7
2019,,,,Aramaio,W_PER_CAPITA,Aramaio,73.0
2020,,,,Aramaio,W_PER_CAPITA,Aramaio,74.6
2018,,,,Aramaio,W_PER_CAPITA,Aramaio,71.7
2011,,,,Aramaio,W_PER_CAPITA,Aramaio,37.5
2010,,,,Aramaio,W_PER_CAPITA,Aramaio,38.0
2014,,,,Aramaio,W_PER_CAPITA,Aramaio,52.8
2015,,,,Aramaio,W_PER_CAPITA,Aramaio,54.0
2022,,,,Aramaio,W_PER_CAPITA,Aramaio,95.4
2013,,,,Aramaio,W_PER_CAPITA,Aramaio,52.6
2017,,,,Aramaio,W_PER_CAPITA,Aramaio,54.6
2016,,,,Aramaio,W_PER_CAPITA,Aramaio,54.7
2012,,,,Aramaio,W_PER_CAPITA,Aramaio,44.8
2023,,,,Aramaio,W_PER_CAPITA,Aramaio,228.0
2021,,,,Aramaio,W_PER_CAPITA,Aramaio,83.0
2014,,,,Arantzazu,W_PER_CAPITA,Arantzazu,18.2
2020,,,,Arantzazu,W_PER_CAPITA,Arantzazu,27.1
2018,,,,Arantzazu,W_PER_CAPITA,Arantzazu,19.6
2011,,,,Arantzazu,W_PER_CAPITA,Arantzazu,16.6
2015,,,,Arantzazu,W_PER_CAPITA,Arantzazu,19.6
2021,,,,Arantzazu,W_PER_CAPITA,Arantzazu,38.6
2012,,,,Arantzazu,W_PER_CAPITA,Arantzazu,17.4
2016,,,,Arantzazu,W_PER_CAPITA,Arantzazu,19.8
2019,,,,Arantzazu,W_PER_CAPITA,Arantzazu,19.1
2013,,,,Arantzazu,W_PER_CAPITA,Arantzazu,19.2
2010,,,,Arantzazu,W_PER_CAPITA,Arantzazu,17.1
2022,,,,Arantzazu,W_PER_CAPITA,Arantzazu,39.3
2023,,,,Arantzazu,W_PER_CAPITA,Arantzazu,323.4
2017,,,,Arantzazu,W_PER_CAPITA,Arantzazu,20.1
