Year,Series,Valor,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,NV_IND_MANF,CLV15,ES213,,,PT,ES213,14.1
2012,NV_IND_MANF,CLV15,ES213,,,PT,ES213,13.9
2011,NV_IND_MANF,CLV15,ES213,,,PT,ES213,14.8
2017,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4675.7
2015,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4297.1
2019,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4771.3
2012,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4076.9
2011,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4430.9
2014,NV_IND_MANF,CLV15,ES213,,,PT,ES213,14.1
2010,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4393.1
2020,NV_IND_MANF,CLV15,ES213,,,PT,ES213,13.4
2016,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4520.3
2013,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,6688.8
2011,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,7308.4
2020,NV_IND_MANF,CLV15,ES212,,,PT,ES212,21.6
2015,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22.3
2022,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22.8
2012,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22.6
2013,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22
2019,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,7842.4
2014,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,6785.8
2012,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,7025.1
2017,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,7475.5
2020,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,6934
2014,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22
2019,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22
2018,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22.2
2018,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,7749.2
2021,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,7685.1
2017,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22.2
2010,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,7105.3
2010,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22.5
2015,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,7117.6
2016,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22.5
2021,NV_IND_MANF,CLV15,ES212,,,PT,ES212,22.6
2016,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,7394.8
2022,NV_IND_MANFPC,CLV15,ES212,,,EUR_PER_CAPITA,ES212,8075.6
2011,NV_IND_MANF,CLV15,ES212,,,PT,ES212,23.1
2014,NV_IND_MANF,NOM,,,,PT,,18.3
2010,NV_IND_MANF,NOM,,,,PT,,19.5
2017,NV_IND_MANF,NOM,,,,PT,,18.8
2018,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,6595.3
2011,NV_IND_MANF,NOM,,,,PT,,19.6
2013,NV_IND_MANF,NOM,,,,PT,,18.7
2017,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,6376.3
2015,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,5935.6
2016,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,6169
2012,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,5721
2015,NV_IND_MANF,NOM,,,,PT,,18.8
2014,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,5599.1
2019,NV_IND_MANF,NOM,,,,PT,,18.4
2018,NV_IND_MANF,NOM,,,,PT,,18.7
2021,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,6660.2
2022,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,7544.3
2013,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,5572.2
2011,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,6045.7
2021,NV_IND_MANF,NOM,,,,PT,,18.7
2016,NV_IND_MANF,NOM,,,,PT,,18.8
2022,NV_IND_MANF,NOM,,,,PT,,19.2
2010,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,5971.3
