Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,,,20017,PT,20017,0.6
2016,,,20017,PT,20017,0.7
2017,,,20017,PT,20017,0.9
2018,,,20017,PT,20017,0.7
2019,,,20017,PT,20017,0.9
2020,,,20017,PT,20017,0.8
2014,,,20018,PT,20018,0.6
2015,,,20018,PT,20018,0.7
2016,,,20018,PT,20018,0.7
2017,,,20018,PT,20018,0.9
2018,,,20018,PT,20018,0.7
2019,,,20018,PT,20018,0.9
2020,,,20018,PT,20018,0.9
2014,,,20019,PT,20019,0.2
2015,,,20019,PT,20019,0.2
2016,,,20019,PT,20019,0.2
2017,,,20019,PT,20019,0.2
2018,,,20019,PT,20019,0.1
2019,,,20019,PT,20019,0.2
2020,,,20019,PT,20019,0.1
2014,,2002,,PT,2002,0.4
2015,,2002,,PT,2002,0.4
2016,,2002,,PT,2002,0.5
2017,,2002,,PT,2002,0.6
2018,,2002,,PT,2002,0.5
2019,,2002,,PT,2002,0.6
2020,,2002,,PT,2002,0.6
2014,,,20020,PT,20020,15.6
2015,,,20020,PT,20020,16.5
2016,,,20020,PT,20020,19.2
2017,,,20020,PT,20020,19.9
2018,,,20020,PT,20020,18.5
2019,,,20020,PT,20020,23.8
2020,,,20020,PT,20020,20.4
2014,,,20021,PT,20021,1.7
2015,,,20021,PT,20021,1.4
2016,,,20021,PT,20021,1.3
2017,,,20021,PT,20021,1.2
2018,,,20021,PT,20021,0.9
2019,,,20021,PT,20021,1.1
2020,,,20021,PT,20021,1
2014,,,20022,PT,20022,2.7
2015,,,20022,PT,20022,2.7
2016,,,20022,PT,20022,2.9
2017,,,20022,PT,20022,3.7
2018,,,20022,PT,20022,2.7
2019,,,20022,PT,20022,3.7
2020,,,20022,PT,20022,3.1
2014,,,20023,PT,20023,3.2
2015,,,20023,PT,20023,3.6
2016,,,20023,PT,20023,3.3
2017,,,20023,PT,20023,3.4
2018,,,20023,PT,20023,2.6
2019,,,20023,PT,20023,3.2
2020,,,20023,PT,20023,3.4
2014,,,20024,PT,20024,5.5
2015,,,20024,PT,20024,6.8
2016,,,20024,PT,20024,6.4
2017,,,20024,PT,20024,6.4
2018,,,20024,PT,20024,5.8
2019,,,20024,PT,20024,6.5
2020,,,20024,PT,20024,5.9
2014,,,20025,PT,20025,3.6
2015,,,20025,PT,20025,4.1
2016,,,20025,PT,20025,3.3
2017,,,20025,PT,20025,4
2018,,,20025,PT,20025,2.6
2019,,,20025,PT,20025,3.8
2020,,,20025,PT,20025,3.4
2014,,,20026,PT,20026,12
2015,,,20026,PT,20026,10.9
2016,,,20026,PT,20026,9.4
2017,,,20026,PT,20026,9.9
2018,,,20026,PT,20026,9
