Year,Territorio,Units,Value
2019,ES20068,PER_10000,0
2019,ES48905,PER_10000,18.1
2019,ES20008,PER_10000,0
2020,ES48906,PER_10000,21.6
2020,ES20069,PER_10000,33.1
2021,ES48907,PER_10000,0
2019,ES01039,PER_10000,0
2019,ES48907,PER_10000,0
2022,ES2007,PER_10000,24.7
2020,ES48908,PER_10000,63.3
2020,ES20009,PER_10000,32.1
2021,ES48909,PER_10000,71.9
2020,ES2007,PER_10000,18.5
2019,ES48909,PER_10000,0
2020,ES01003,PER_10000,0
2020,ES48910,PER_10000,31.7
2021,ES20070,PER_10000,0
2021,ES48911,PER_10000,0
2022,ES2001,PER_10000,54.5
2019,ES48911,PER_10000,0
2019,ES20070,PER_10000,0
2021,,PER_10000,34.3
2019,,PER_10000,36.2
2019,ES01002,PER_10000,26.6
2021,ES01004,PER_10000,10.6
2020,ES01010,PER_10000,0
2020,ES01022,PER_10000,0
2021,ES01049,PER_10000,0
2021,ES20023,PER_10000,34.5
2019,ES48009,PER_10000,19.6
2022,ES211,PER_10000,41.6
2020,ES211,PER_10000,33.2
2021,ES211,PER_10000,34
2019,ES211,PER_10000,37.4
2019,ES213,PER_10000,37.5
2020,ES213,PER_10000,35.9
2021,ES213,PER_10000,35.7
2022,ES213,PER_10000,39.7
2019,ES212,PER_10000,33.5
2020,ES212,PER_10000,30.5
2021,ES212,PER_10000,32.4
2022,ES212,PER_10000,39.5
