Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
ES48905,Zamudio,Zamudio,Zamudio,4,1
ES48906,Forua,Forua,Forua,4,1
ES48907,Kortezubi,Kortezubi,Kortezubi,4,1
ES48908,Murueta,Murueta,Murueta,4,1
ES48909,Nabarniz,Nabarniz,Nabarniz,4,1
ES48910,Iurreta,Iurreta,Iurreta,4,1
ES48911,Ajangiz,Ajangiz,Ajangiz,4,1
ES48912,Alonsotegi,Alonsotegi,Alonsotegi,4,1
ES48913,Zierbena,Zierbena,Zierbena,4,1
ES48914,Arratzu,Arratzu,Arratzu,4,1
ES48915,Ziortza-Bolibar,Ziortza-Bolibar,Ziortza-Bolibar,4,1
